"Network","#nodes","#edges","Max degree","Min degree","Avg. degree","Avg. cluster coefficient","Assortativity","Avg. path length","Diameter"
"256_4_4_2_15_18_p",256,4548,46,30,35.5312,0.7331,0.0286,0.7331,5
"256_4_4_4_13_18_p",256,4598,50,20,35.9219,0.5113,7e-04,0.5113,4
"BA1000",1000,3990,115,4,7.98,0.0354,-0.0542,0.0354,5
"ER1000k8",1000,3956,17,1,7.912,0.0081,-0.0168,0.0081,6
"ER5000k8",5000,19980,17,4,7.992,0.0014,-0.0555,0.0014,6
"homorand_N1000_K4_0",1000,2000,4,4,4,0.002,0,0.002,9
"homorand_N1000_K6_0",1000,2994,6,5,5.988,0.0038,0.1919,0.0038,6
"rb125",125,426,100,4,6.816,0.8373,-0.1837,0.8373,4
"SF_1000_g2.5",1000,1905,30,2,3.81,0.0096,0.02,0.0096,10
"SF_1000_g2.7",1000,1668,24,2,3.336,0.0067,-0.002,0.0067,12
"SF_1000_g3.0",1000,1517,26,2,3.034,0.0052,-0.0085,0.0052,13
"SF_500_g2.7",500,859,22,2,3.436,0.0078,-0.0256,0.0078,12
"ws1000",1000,3000,13,3,6,0.0044,-0.0999,0.0044,6
"ws2000",2000,6000,13,3,6,0.0033,-0.0762,0.0033,7
"airports_UW",3618,14142,250,1,7.8176,0.6228,0.0462,0.6228,17
"dolphins",62,159,12,1,5.129,0.3029,-0.0436,0.3029,8
"PGP",10680,24340,206,1,4.5581,0.4403,0.2395,0.4403,24
"zachary_unwh",34,78,17,1,4.5882,0.5879,-0.4756,0.5879,5
"20x2+5x2",50,404,22,4,16.16,0.9716,0.9186,0.9716,4
"circle9",9,9,2,2,2,0,0,0,4
"graph3+1+3",7,8,3,2,2.2857,0.6667,-0.6,0.6667,4
"graph4+4",8,13,4,3,3.25,0.875,-0.0833,0.875,3
"grid-p-6x6",36,72,4,4,4,0,0,0,6
"rb25",25,66,20,4,5.28,0.9023,-0.1635,0.9023,4
"star",9,8,8,1,1.7778,0,-1,0,2
"wheel",9,16,8,3,3.5556,0.6243,-0.3333,0.6243,2
