Louvain,0.647,-
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
Infomap,0.604,-
=======
=======
>>>>>>> 013058540314a6e808d308bf8b68c4a49ef63ace
=======
>>>>>>> origin/main
Infomap,0.603,-
Louvain,0.647,-
Infomap,0.602,-
Louvain,0.647,-
Infomap,0.602,-
Louvain,0.647,-
Infomap,0.602,-
Louvain,0.647,-
Infomap,0.607,-
Louvain,0.647,-
Infomap,0.604,-
Louvain,0.647,-
Infomap,0.604,-
Louvain,0.647,-
Infomap,0.604,-
Louvain,0.647,-
Infomap,0.607,-
Louvain,0.647,-
Infomap,0.607,-
Louvain,0.647,-
Infomap,0.603,-
Louvain,0.647,-
Infomap,0.603,-
<<<<<<< HEAD
<<<<<<< HEAD
>>>>>>> 013058540314a6e808d308bf8b68c4a49ef63ace
=======
>>>>>>> 013058540314a6e808d308bf8b68c4a49ef63ace
=======
>>>>>>> origin/main
